id,year,majortopic,subtopic,description,filter_eu,var2,var3,var5,day,month,var15,var17,var18,var98_questionname,calendar_year,var14
57,1997,5,504,Om regeringens indgreb i storkonflikten,0,35,3513,1,6,5,,504,504,,1998,5/6/1998
61,1997,5,504,Om regeringsindregb i storkonflikten,0,35,3512,1,6,5,,504,504,,1998,5/6/1998
47,1997,14,1499,Om tilskudsdeklarationesudvalget,0,35,3517,10,3,6,,1499,1499,,1998,6/3/1998
48,1997,2,205,Om handicapvenligt nybyggeri,0,35,3518,10,3,6,,205,205,,1998,6/3/1998
46,1997,14,1400,Om lejeforhøjelser,0,35,3519,10,3,6,,1400,1400,,1998,6/3/1998
50,1997,16,1610,Om milliardregning til jagerfly,0,35,3520,8,10,6,,1610,1610,,1998,6/10/1998
67,1997,19,1910,Om en demokratisk og åben EU-proces,1,35,3521,2,10,6,,1910,1910,,1998,6/10/1998
66,1997,19,1910,Om nye unionsskridt,1,35,3522,2,10,6,,1910,1910,,1998,6/10/1998
96,1998,8,800,Om omkostninger ved den førte energipolitik,0,36,3605,9,7,10,,800,800,,1998,10/7/1998
101,1998,8,806,Om vindmøllecirkulæret,0,36,3603,9,7,10,,806,806,,1998,10/7/1998
98,1998,15,1500,Om tilbageføring af CO2 afgiften til erhvervslivet,0,36,3601,9,7,10,,1500,1500,,1998,10/7/1998
97,1998,21,2105,Om ophobning af kviksøv og pcb i de færøske grintehvaler,0,36,3604,9,7,10,,2105,2105,,1998,10/7/1998
99,1998,7,704,Om en aftale mellem Kl og staten om ophør af brug af sprøjtegifte,0,36,3602,9,7,10,,704,704,,1998,10/7/1998
87,1998,16,1610,Om investering i ubåde,0,36,3607,8,21,10,,1610,1610,,1998,10/21/1998
86,1998,16,1600,Om afskaffelse af værnepligten og hjemmeværnet,0,36,3606,8,21,10,,1600,1600,,1998,10/21/1998
112,1998,20,2012,Om overholdelse af valgløfter,0,36,3609,1,28,10,,2012,2012,,1998,10/28/1998
105,1998,19,1910,"Om imødekommelse af det store mindretal, der stemte nej til Amtserdamtraktaten",1,36,3608,1,28,10,,1910,1910,,1998,10/28/1998
109,1998,2,208,Om åbning af arkiver,0,36,3612,1,4,11,,208,208,,1998,11/4/1998
111,1998,14,1400,Om nordjyllandserhversudvikling,0,36,3611,1,4,11,,1400,1400,,1998,11/4/1998
113,1998,20,2012,Om forskellen på regeringens og Venstres politik,0,36,3616,1,4,11,,2012,2012,,1998,11/4/1998
106,1998,19,1929,Om pasfrihed,1,36,3613,1,4,11,,1929,1929,,1998,11/4/1998
107,1998,16,1603,Om forsvarets efterretningstjeneste,0,36,3610,1,4,11,,1603,1603,,1998,11/4/1998
110,1998,19,1921,Om udvisning af Pinochet til Spanien,0,36,3614,1,4,11,,1914,1914,,1998,11/4/1998
108,1998,12,1205,Om tilstanden i fængslerne,0,36,3615,1,4,11,,1205,1205,,1998,11/4/1998
119,1998,3,302,Om kræftbehandlingi udlandet,0,36,3617,14,18,11,,302,302,,1998,11/18/1998
118,1998,3,331,Om eksperimentel kræftbehandling,0,36,3618,14,18,11,,337,337,,1998,11/18/1998
116,1998,3,344,Om rygning og indtagelse af alkohol på skoler,0,36,3619,14,18,11,,344,344,,1998,11/18/1998
90,1998,4,403,Om det rådgivende fødevarerudvalg,0,36,3620,16,25,11,,403,403,,1998,11/25/1998
72,1998,14,1406,Om boligstøtte,0,36,3622,10,25,11,,1406,1406,,1998,11/25/1998
73,1998,14,1406,Om finanslovsaftale,0,36,3621,10,25,11,,1406,1406,,1998,11/25/1998
81,1998,20,2011,Om ministerpensioner,0,36,3626,3,2,12,,2011,2011,,1998,12/2/1998
84,1998,1,107,Om skattelettelser til erhvervslivet,0,36,3625,3,2,12,,107,107,,1998,12/2/1998
80,1998,5,503,Om efterløn,0,36,3627,3,2,12,,507,507,,1998,12/2/1998
82,1998,5,503,Om finanslovsforliget,0,36,3623,3,2,12,,507,507,,1998,12/2/1998
78,1998,5,503,Om finanslovesforliget,0,36,3624,3,2,12,,507,507,,1998,12/2/1998
128,1998,15,1500,Om Hafniasagen,0,36,3628,13,9,12,,1500,1500,,1998,12/9/1998
69,1998,5,503,Om efterløn,0,36,3631,4,9,12,,507,507,,1998,12/9/1998
70,1998,5,503,Om rådighedsstramninger,0,36,3630,4,9,12,,507,507,,1998,12/9/1998
71,1998,5,503,Om arbejdsmarkedsreformen,0,36,3629,4,9,12,,507,507,,1998,12/9/1998
104,1998,13,1304,Om førtidspensionsreformen,0,36,3632,5,13,1,,1304,1304,,1999,1/13/1999
125,1998,19,1926,Om UNSCOM,0,36,3635,2,20,1,,1926,1926,,1999,1/20/1999
76,1998,10,1007,Om søfratsstyrelsens forskrift om sprogfærdigheder,0,36,3637,12,20,1,,1007,1007,,1999,1/20/1999
75,1998,18,1806,om erhverlivets konkurrenceevne,0,36,3636,12,20,1,,1806,1806,,1999,1/20/1999
124,1998,19,1921,Om det Kinesiske demokratisk parti,0,36,3634,2,20,1,,1907,1907,,1999,1/20/1999
122,1998,19,1921,Om kosovokonflikten,0,36,3633,2,20,1,,1909,1909,,1999,1/20/1999
127,1998,6,602,om undervisning i norsk og svensk,0,36,3640,15,3,2,,602,602,,1999,2/3/1999
91,1998,19,1910,Om Eu-kommisonens sikkerhedstjeneste,1,36,3639,6,3,2,,1910,1910,,1999,2/3/1999
95,1998,2,207,Om etablering af moskeer i Danmark,0,36,3641,11,3,2,,207,207,,1999,2/3/1999
94,1998,12,1202,Om økonomisk kriminalitet,0,36,3638,6,3,2,,1202,1202,,1999,2/3/1999
88,1998,4,403,Om hormonkød på det danske marked,0,36,3642,16,10,2,,403,403,,1999,2/10/1999
115,1998,3,343,Om lægordineret heroin til narkomaner,0,36,3646,14,24,2,,343,343,,1999,2/24/1999
117,1998,13,1308,Om støjniveau i børneinstitutioner,0,36,3643,14,24,2,,1308,1308,,1999,2/24/1999
114,1998,4,403,Om gensplejsede fødevarer,0,36,3645,14,24,2,,403,403,,1999,2/24/1999
120,1998,3,322,Om ventelister for hjertepatienter,0,36,3644,14,24,2,,322,327,,1999,2/24/1999
79,1998,8,803,Om de regionale naturgasselskaber,0,36,3648,3,3,3,,803,803,,1999,3/3/1999
85,1998,5,500,Om antallet af personer uden for arbejdsmarkedet,0,36,3649,3,3,3,,500,500,,1999,3/3/1999
83,1998,20,2004,Om lærernes overenskomst,0,36,3647,3,3,3,,2004,2004,,1999,3/3/1999
102,1998,8,802,Om elreformen,0,36,3650,9,17,3,,802,802,,1999,3/17/1999
77,1998,18,1807,Om følgerne af at ophæve det toldfriesalg,1,36,3652,12,17,3,,1807,1807,,1999,3/17/1999
100,1998,4,498,Om genetisk modificeret raps,0,36,3651,9,17,3,,498,498,,1999,3/17/1999
74,1998,14,1406,Om at bytte stor lejlighed til mindre,0,36,3653,10,24,3,,1406,1406,,1999,3/24/1999
68,1998,5,502,Om Af-kurserne,0,36,3654,4,14,4,,502,502,,1999,4/14/1999
93,1998,12,1201,Om aflytnings af rigspolitiets rejsehold,0,36,3655,6,21,4,,1201,1201,,1999,4/21/1999
92,1998,12,1210,Om strafproportioner,0,36,3656,6,21,4,,1210,1210,,1999,4/21/1999
89,1998,4,403,Om forbud mod amerikansk oksekød,1,36,3657,16,28,4,,403,403,,1999,4/28/1999
103,1998,19,1921,Om flygtningesituation på balkan,0,36,3658,29,5,5,,1909,1909,,1999,5/5/1999
123,1998,16,1602,Om sammenholdet i NATO,0,36,3660,2,12,5,,1602,1602,,1999,5/12/1999
126,1998,19,1921,Om bombningen af den kinesiske ambassade i Beograd,0,36,3661,2,12,5,,1909,1909,,1999,5/12/1999
121,1998,19,1910,Om det såkaldte nonpaper,1,36,3659,2,12,5,,1910,1910,,1999,5/12/1999
186,1999,6,601,Om danlæsundersøgelsen,0,37,3701,1,12,10,,601,601,,1999,10/12/1999
185,1999,15,1500,Om lettelse af de administrative opgaver for virksomhederne,0,37,3702,1,12,10,,1500,1500,,1999,10/12/1999
190,1999,3,331,Om behandling af lungekræft,0,37,3703,14,26,10,,337,337,,1999,10/26/1999
187,1999,3,322,Om apparatur og personale på sygehusene,0,37,3704,14,26,10,,322,322,,1999,10/26/1999
144,1999,4,403,Om tilsætningsstoffer i mad,0,37,3705,16,2,11,,403,403,,1999,11/2/1999
146,1999,4,403,Om tilsætningsstoffer til mad,0,37,3707,16,2,11,,403,403,,1999,11/2/1999
151,1999,21,2105,Om indførsel af grøndlandsk vildti Danmark,0,37,3706,16,2,11,,2105,2105,,1999,11/2/1999
148,1999,4,402,Om vikarordningen i landbruget,0,37,3708,16,2,11,,402,402,,1999,11/2/1999
184,1999,9,900,Om puljeordninger og bydelsforsøgi København,0,37,3710,5,16,11,,900,230,,1999,11/16/1999
179,1999,9,900,Om udlændingepolitiken,0,37,3709,5,16,11,,900,230,,1999,11/16/1999
160,1999,12,1201,Om politites beredskab ved Nørrebro urolighederne,0,37,3713,6,16,11,,1201,1201,,1999,11/16/1999
157,1999,12,1201,Om effektiviteten inden for Politiet,0,37,3712,6,16,11,,1201,1201,,1999,11/16/1999
153,1999,9,900,Om indfødsret til udlændinge mellem 18 og 23 år,0,37,3711,6,16,11,,900,230,,1999,11/16/1999
180,1999,9,900,Om integrationsydelse,0,37,3718,5,23,11,,900,230,,1999,11/23/1999
178,1999,3,343,Om fri heroein til narkomaner,0,37,3714,5,23,11,,343,343,,1999,11/23/1999
181,1999,13,1300,Om de sociale udgifter,0,37,3715,5,23,11,,1300,1300,,1999,11/23/1999
182,1999,13,1308,Om privat eller offentlig børnepasning,0,37,3717,5,23,11,,1308,1308,,1999,11/23/1999
183,1999,13,1304,Om førtidspensionsreform,0,37,3716,5,23,11,,1304,1304,,1999,11/23/1999
188,1999,3,323,Om høreapparater,0,37,3719,14,30,11,,323,323,,1999,11/30/1999
189,1999,20,2011,Om hvorfor Dansk Folkeparti ikke er indbudt til forhandlinger på sundhedsområdet,0,37,3720,14,30,11,,2011,2011,,1999,11/30/1999
130,1999,5,502,Om arbejdsmarkedsråd og aktivering af ledige,0,37,3722,4,7,12,,502,502,,1999,12/7/1999
168,1999,15,1523,Om orkanen 3/12 1999,0,37,3723,9,7,12,,1523,1523,,1999,12/7/1999
169,1999,15,1523,Om orkanen 3/12 1999,0,37,3726,9,7,12,,1523,1523,,1999,12/7/1999
167,1999,7,711,Om tilsyn med dampbrug,0,37,3725,9,7,12,,407,407,,1999,12/7/1999
129,1999,5,504,Om blokade af virksomheder ved arbejdskonflikter,0,37,3721,4,7,12,,504,504,,1999,12/7/1999
171,1999,7,702,Om rensningsanlæg og afskæringsværdier,0,37,3724,9,7,12,,702,703,,1999,12/7/1999
145,1999,4,403,Om Eu's fødevareagentur,1,37,3728,16,11,1,,403,403,,2000,1/11/2000
149,1999,4,402,Om CHR-registeret og Danmarks Statistik,0,37,3731,16,11,1,,402,402,,2000,1/11/2000
147,1999,18,1808,Om euroen og EU,1,37,3727,16,11,1,,1808,1808,,2000,1/11/2000
150,1999,18,1808,Om ØMU debatten og euroen,1,37,3729,16,11,1,,1808,1808,,2000,1/11/2000
152,1999,4,405,Om salmonellaproblmer indenfor ægprpduktion,0,37,3730,16,11,1,,405,405,,2000,1/11/2000
142,1999,6,601,Om udviklingskontrakter med universiteterne,0,37,3732,28,18,1,,601,601,,2000,1/18/2000
201,1999,6,603,Om undervisning af to-sprogede elever,0,37,3735,15,18,1,,603,603,,2000,1/18/2000
205,1999,9,900,Om danskundervisning i børnehaveklasser,0,37,3736,15,18,1,,900,230,,2000,1/18/2000
203,1999,6,602,Om helhedsskolen,0,37,3733,15,18,1,,602,602,,2000,1/18/2000
200,1999,6,601,Om tildeling af kort videregående uddannelser,0,37,3734,15,18,1,,601,601,,2000,1/18/2000
137,1999,20,2007,Om etnisk personalepolitik i forbindelse med statslige indkøb,0,37,3737,12,25,1,,2007,2007,,2000,1/25/2000
135,1999,2,201,om etnisk ligestilling på arbejdsmarkedet,0,37,3738,12,25,1,,201,201,,2000,1/25/2000
163,1999,19,1910,Om Frihedspartiet i Østrig,0,37,3744,21,1,2,,1913,1913,,2000,2/1/2000
162,1999,23,2300,Om Kulturministeriets internationale samarbejde,0,37,3743,21,1,2,,2300,609,,2000,2/1/2000
166,1999,2,208,Om arkivadgang,0,37,3741,21,1,2,,208,208,,2000,2/1/2000
131,1999,20,2012,Om fagbevægelsens støtte til Socialdemokratiet,0,37,3739,4,1,2,,2012,2012,,2000,2/1/2000
165,1999,17,1707,Om flytning af DR til Ørestaden,0,37,3740,21,1,2,,1707,1707,,2000,2/1/2000
164,1999,9,900,Om integration af flygninge og indvandrere på arbejdsmarkedet,0,37,3742,21,1,2,,900,230,,2000,2/1/2000
159,1999,9,900,Om indvandreres ønske om navneændring,0,37,3746,6,8,2,,900,230,,2000,2/8/2000
161,1999,2,208,Om arkivadgang og besættelsestiden,0,37,3747,6,8,2,,208,208,,2000,2/8/2000
158,1999,20,2011,Om orienteringen af det Udenrigspolitiske nævn om sanktioner mod Østrig,1,37,3745,6,8,2,,2011,2011,,2000,2/8/2000
173,1999,10,1002,Om benzinprisen,0,37,3748,23,22,2,,1002,1006,,2000,2/22/2000
136,1999,1,107,Om afskrivningsreglerne,0,37,3749,12,29,2,,107,107,,2000,2/29/2000
134,1999,14,1400,Om lejelovskommissionen,0,37,3752,10,29,2,,1400,1400,,2000,2/29/2000
132,1999,9,900,Om integration af flygtninge og indvandrere,0,37,3750,10,29,2,,900,230,,2000,2/29/2000
133,1999,9,900,Om anvisning af boliger til flygtninge og indvandrere,0,37,3751,10,29,2,,900,230,,2000,2/29/2000
156,1999,20,2001,Om forhandlinger med kommuner og amter om økonomien for 2001,0,37,3753,7,14,3,,2001,2001,,2000,3/14/2000
154,1999,20,2007,Om udlicitering i amter og kommuner,0,37,3754,7,14,3,,2007,2007,,2000,3/14/2000
192,1999,10,1002,Om road-pricing,0,37,3759,18,14,3,,1002,1002,,2000,3/14/2000
193,1999,10,1002,OM øresundsbroen,0,37,3755,18,14,3,,1002,1002,,2000,3/14/2000
195,1999,21,2104,Om Torsminde Havn,0,37,3758,18,14,3,,2104,2104,,2000,3/14/2000
194,1999,20,2003,Om privatisering af Post Danmark,0,37,3756,18,14,3,,2003,2003,,2000,3/14/2000
191,1999,10,1001,Om tidsplanen for metroen,0,37,3757,18,14,3,,1001,1001,,2000,3/14/2000
174,1999,14,1401,Om ejendomsværdiskat,0,37,3761,23,21,3,,1411,1411,,2000,3/21/2000
177,1999,1,107,Om befordringsfradraget,0,37,3762,23,21,3,,107,107,,2000,3/21/2000
175,1999,18,1808,Om euroen,1,37,3760,23,21,3,,1808,1808,,2000,3/21/2000
176,1999,16,1608,Om beskatning af den internationale styrker,0,37,3763,23,21,3,,1608,1608,,2000,3/21/2000
206,1999,18,1808,Om euroen,1,37,3765,13,28,3,,1808,1808,,2000,3/28/2000
207,1999,18,1808,Om euroen,1,37,3764,13,28,3,,1808,1808,,2000,3/28/2000
141,1999,20,2007,Om udbud og udlicitering,0,37,3768,3,4,4,,2007,2007,,2000,4/4/2000
138,1999,9,900,Om udgifter til udlændinge i Danmark,0,37,3769,3,4,4,,900,230,,2000,4/4/2000
139,1999,18,1808,Om Euroen,1,37,3766,3,4,4,,1808,1808,,2000,4/4/2000
140,1999,20,2012,Om embedsmænd og politiske forhandlinger,0,37,3767,3,4,4,,2012,2012,,2000,4/4/2000
198,1999,19,1926,Om europarådet og Ukraine og Rusland og Tjetenien,0,37,3772,2,11,4,,1926,1926,,2000,4/11/2000
196,1999,19,1910,Om EU-topmødet i Lissabon,1,37,3771,2,11,4,,1910,1910,,2000,4/11/2000
199,1999,19,1926,Om Østersørådet og sex-msibrug af børn i de baltiske lande,0,37,3773,2,11,4,,1926,1926,,2000,4/11/2000
197,1999,18,1808,Om euroen og EU,1,37,3770,2,11,4,,1808,1808,,2000,4/11/2000
170,1999,8,806,Om vindmølleanparter,0,37,3774,9,25,4,,806,806,,2000,4/25/2000
172,1999,21,2101,Om stormfaldspakken og skader på fredede bygninger,0,37,3775,9,25,4,,2101,2101,,2000,4/25/2000
202,1999,6,604,Om merkonom uddannelsen,0,37,3777,15,2,5,,604,604,,2000,5/2/2000
204,1999,6,601,Om taxameterfinansiering af de videregående uddannelser,0,37,3776,15,2,5,,601,601,,2000,5/2/2000
143,1999,16,1608,Om golfkrigssyndromet,0,37,3778,8,9,5,,1608,1608,,2000,5/9/2000
155,1999,9,900,Om udvisningsdomme,0,37,3779,7,16,5,,900,230,,2000,5/16/2000
234,2000,7,709,Om dyreforsøgstilsynet,0,38,3804,6,10,10,,709,709,,2000,10/10/2000
230,2000,12,1210,Om antallet af voldsanmeldelser,0,38,3802,6,10,10,,1210,1210,,2000,10/10/2000
235,2000,9,900,Om kriminelle asylansøgere,0,38,3805,6,10,10,,900,230,,2000,10/10/2000
238,2000,12,1201,Om antallet af politikredse,0,38,3803,6,10,10,,1201,1201,,2000,10/10/2000
228,2000,19,1929,Om dansker fængslet i Prag,0,38,3801,6,10,10,,1929,1929,,2000,10/10/2000
268,2000,12,1206,Om sikrede pladser til kriminelle unge,0,38,3808,5,31,10,,1206,1206,,2000,10/31/2000
224,2000,9,900,Om stigningen i antalett af asylansøgere,0,38,3806,7,31,10,,900,230,,2000,10/31/2000
265,2000,12,1207,Om pædofile,0,38,3807,5,31,10,,1207,1207,,2000,10/31/2000
269,2000,12,1206,Om instituionspladser til voldelige unge,0,38,3811,5,21,11,,1206,1206,,2000,11/21/2000
266,2000,2,207,Om billedpornograi i offentlige rum,0,38,3809,5,21,11,,207,207,,2000,11/21/2000
264,2000,13,1300,"Om bevillinger til ældre, syge, sindslidende og hjemløse",0,38,3812,5,21,11,,1300,1300,,2000,11/21/2000
267,2000,12,1206,Om insttituionspladser til meget voldelige unge,0,38,3810,5,21,11,,1206,1206,,2000,11/21/2000
241,2000,2,207,Om besættelse af ledige præstestillinger,0,38,3814,11,21,11,,210,210,,2000,11/21/2000
290,2000,6,602,Om tyrkisk og arabisk som valgfrie fag i folkeskolen,0,38,3813,15,21,11,,602,602,,2000,11/21/2000
240,2000,2,207,Om tillægsprotokol til menneskerettighedskonventionen,0,38,3815,11,21,11,,210,210,,2000,11/21/2000
249,2000,8,807,Om overførsel af Elsparefondens midler fra et år til et andet,0,38,3817,9,28,11,,807,807,,2000,11/28/2000
252,2000,14,1400,Om nedlæggelse af kolonihaver,0,38,3818,9,28,11,,712,712,,2000,11/28/2000
248,2000,7,702,Om forbrændingskapaciteten mht. dagrenovation i det vestlige Jylland,0,38,3816,9,28,11,,702,703,,2000,11/28/2000
208,2000,1,100,Om et nej til euroen vil føre til højere arbejdsløshed,1,38,3820,4,5,12,,100,100,,2000,12/5/2000
210,2000,5,503,Om sanktioner i forbindelse med dagpengereglerne,0,38,3821,4,5,12,,507,507,,2000,12/5/2000
212,2000,2,207,Om muslimske bønner på arbejdspladsen,0,38,3819,4,5,12,,207,207,,2000,12/5/2000
219,2000,16,1608,Om risici ved uranprojektiler,0,38,3825,8,9,1,,1608,1608,,2001,1/9/2001
217,2000,16,1608,Om risici ved uranprojektiler,0,38,3823,8,9,1,,1608,1608,,2001,1/9/2001
218,2000,16,1608,Om risici ved uranprojektiler,0,38,3822,8,9,1,,1608,1608,,2001,1/9/2001
216,2000,16,1608,Om risici ved uranprojektiler,0,38,3824,8,9,1,,1608,1608,,2001,1/9/2001
227,2000,12,1204,Om udeblivelsesdomme,0,38,3828,6,16,1,,1204,1204,,2001,1/16/2001
239,2000,12,1210,Om straf for voldtægt,0,38,3829,6,16,1,,1210,1210,,2001,1/16/2001
236,2000,12,1210,Om straf for voldtægt,0,38,3827,6,16,1,,1210,1210,,2001,1/16/2001
231,2000,12,1210,Om straf for voldtægt,0,38,3826,6,16,1,,1210,1210,,2001,1/16/2001
275,2000,3,399,Om embedslægeinstituionen i Århus Amt,0,38,3831,14,23,1,,399,399,,2001,1/23/2001
277,2000,3,321,Om medicinforsyningen i landdiskrekterne,0,38,3834,14,23,1,,321,326,,2001,1/23/2001
274,2000,3,331,Om behandling af demens,0,38,3832,14,23,1,,337,337,,2001,1/23/2001
278,2000,3,331,Om kræftbehandling i Danmark,0,38,3830,14,23,1,,337,337,,2001,1/23/2001
270,2000,3,331,Om behandling af demens,0,38,3833,14,23,1,,337,337,,2001,1/23/2001
287,2000,6,602,Om kristendomsundervisning i folkeskolen,0,38,3835,15,30,1,,602,602,,2001,1/30/2001
261,2000,19,1901,"O u-landsbistand til lande, der udnertrykker menneskerettighederne",0,38,3838,29,30,1,,1901,1901,,2001,1/30/2001
289,2000,6,602,Om engelskundervisning i folkeskolen,0,38,3837,15,30,1,,602,602,,2001,1/30/2001
259,2000,19,1901,Om u-landsbistand til lande der undertrykker menneskerettighederne,0,38,3839,29,30,1,,1901,1901,,2001,1/30/2001
286,2000,13,1308,Om børns udvikling i daginstittuioner,0,38,3836,15,30,1,,1308,1308,,2001,1/30/2001
211,2000,5,502,Om kursustilbud til arbejdsledige,0,38,3842,4,6,2,,502,502,,2001,2/6/2001
209,2000,2,202,Om Arbejdsministeriets annonce rom ligeløn,0,38,3841,4,6,2,,202,202,,2001,2/6/2001
214,2000,5,502,Om arbejdsformidlingens produktivitet,0,38,3843,4,6,2,,502,502,,2001,2/6/2001
213,2000,5,502,Om aktivering afarbejdsledige,0,38,3840,4,6,2,,502,502,,2001,2/6/2001
262,2000,1,107,Om skatteminsiterens tiltag på skatte- og afgiftsområdet,0,38,3844,23,6,2,,107,107,,2001,2/6/2001
